datetime,upper_band,middle_band,lower_band,open,high,low,close,volume
2023-04-25 15:37:00,208.80152,208.43517,208.06882,208.27000,208.28000,208.17999,208.21500,33184
2023-04-25 15:36:00,208.79962,208.44742,208.09523,208.37500,208.42000,208.21001,208.27000,38546
2023-04-25 15:35:00,208.79769,208.45444,208.11119,208.30000,208.37711,208.27000,208.36000,32676
2023-04-25 15:34:00,208.80048,208.45994,208.11940,208.38000,208.50000,208.30499,208.31000,24405
2023-04-25 15:33:00,208.81903,208.47669,208.13435,208.41000,208.42000,208.28999,208.35500,30751
2023-04-25 15:32:00,208.82344,208.48519,208.14694,208.19991,208.42850,208.17500,208.41000,32566
2023-04-25 15:31:00,208.84454,208.49844,208.15234,208.33000,208.43990,208.19000,208.20000,44250
2023-04-25 15:30:00,208.86577,208.52744,208.18912,208.24500,208.36990,208.21001,208.32001,40063
2023-04-25 15:29:00,208.87223,208.54394,208.21565,208.21001,208.30000,208.20030,208.25000,42560
2023-04-25 15:28:00,208.87061,208.56594,208.26127,208.30000,208.33000,208.14999,208.21001,35835
2023-04-25 15:27:00,208.87548,208.59694,208.31840,208.50999,208.50999,208.27000,208.30000,98426
2023-04-25 15:26:00,208.88634,208.62394,208.36154,208.59000,208.73000,208.53000,208.53000,29716
2023-04-25 15:25:00,208.89418,208.63294,208.37170,208.69000,208.72000,208.52000,208.59000,27733
2023-04-25 15:24:00,208.89443,208.63354,208.37265,208.49500,208.69000,208.47000,208.65500,26606
2023-04-25 15:23:00,208.89140,208.62904,208.36668,208.56990,208.61000,208.47000,208.50999,30650
2023-04-25 15:22:00,208.89669,208.63854,208.38039,208.78000,208.80000,208.53011,208.53011,30010
2023-04-25 15:21:00,208.90486,208.64865,208.39245,208.83000,208.86050,208.75999,208.78000,36892
2023-04-25 15:20:00,208.89179,208.64265,208.39351,208.62000,208.87000,208.52310,208.82330,42302
2023-04-25 15:19:00,208.87716,208.63817,208.39917,208.50999,208.62000,208.50900,208.60001,53048
2023-04-25 15:18:00,208.88201,208.64267,208.40332,208.45000,208.58000,208.42999,208.48500,30243
2023-04-25 15:17:00,208.88352,208.65392,208.42432,208.42990,208.55000,208.35001,208.46001,42505
2023-04-25 15:16:00,208.88213,208.66792,208.45370,208.46001,208.50999,208.35001,208.41040,42021
2023-04-25 15:15:00,208.85985,208.68115,208.50244,208.66000,208.71989,208.42999,208.47000,64152
2023-04-25 15:14:00,208.84180,208.68906,208.53632,208.52000,208.66000,208.52000,208.64500,34017
2023-04-25 15:13:00,208.84237,208.68781,208.53325,208.68440,208.68440,208.50000,208.52499,101140
2023-04-25 15:12:00,208.83415,208.69806,208.56196,208.79030,208.81500,208.64000,208.67500,21259
2023-04-25 15:11:00,208.85600,208.70648,208.55696,208.67999,208.79500,208.67570,208.78000,21462
2023-04-25 15:10:00,208.87514,208.71123,208.54732,208.67000,208.70050,208.58000,208.64999,35472
2023-04-25 15:09:00,208.93261,208.72873,208.52485,208.82001,208.83000,208.67000,208.69000,23367
2023-04-25 15:08:00,209.01487,208.75023,208.48559,208.83501,208.84000,208.75999,208.83000,26926
2023-04-25 15:07:00,209.01722,208.75123,208.48524,208.73000,208.84990,208.70190,208.84000,24685
2023-04-25 15:06:00,209.01268,208.74898,208.48528,208.64000,208.78000,208.62010,208.71001,24736
2023-04-25 15:05:00,209.02259,208.75598,208.48937,208.57530,208.64999,208.52000,208.60201,33228
2023-04-25 15:04:00,209.02205,208.76488,208.50771,208.69000,208.69000,208.55000,208.56500,19213
2023-04-25 15:03:00,209.02425,208.78027,208.53629,208.75000,208.83730,208.67999,208.70000,34997
2023-04-25 15:02:00,209.04815,208.79377,208.53939,208.66499,208.82001,208.66000,208.73230,29628
2023-04-25 15:01:00,209.05546,208.80065,208.54585,208.73000,208.73421,208.61909,208.66000,20946
2023-04-25 15:00:00,209.06632,208.81415,208.56199,208.67999,208.75999,208.58051,208.73360,26293
2023-04-25 14:59:00,209.09129,208.82804,208.56480,208.75000,208.75999,208.67000,208.69000,12556
2023-04-25 14:58:00,209.13603,208.85004,208.56406,208.69000,208.75000,208.66550,208.71010,19041
2023-04-25 14:57:00,209.16761,208.86954,208.57147,208.67500,208.75661,208.66710,208.73990,20147
2023-04-25 14:56:00,209.17427,208.88024,208.58622,208.64999,208.68201,208.60001,208.67500,18060
2023-04-25 14:55:00,209.16775,208.88745,208.60715,208.55499,208.64999,208.53000,208.62830,21830
2023-04-25 14:54:00,209.17330,208.88554,208.59778,208.73199,208.73199,208.60001,208.62000,23216
2023-04-25 14:53:00,209.18748,208.88104,208.57460,208.80000,208.80000,208.70000,208.73000,18756
2023-04-25 14:52:00,209.21977,208.86754,208.51531,208.87000,208.95000,208.84340,208.84340,18468
2023-04-25 14:51:00,209.24674,208.84712,208.44750,208.96001,208.99550,208.71001,208.87500,34421
2023-04-25 14:50:00,209.26478,208.82437,208.38396,209.12000,209.17999,209.00000,209.00000,35312
2023-04-25 14:49:00,209.25237,208.80016,208.34795,208.88000,209.12000,208.83000,209.12000,27475
2023-04-25 14:48:00,209.20832,208.77666,208.34500,208.79500,208.94000,208.71001,208.85001,22481
2023-04-25 14:47:00,209.20096,208.76434,208.32773,208.86000,208.91000,208.78000,208.79500,17339
2023-04-25 14:46:00,209.20510,208.74660,208.28809,208.78999,208.95000,208.75000,208.85001,33497
2023-04-25 14:45:00,209.21524,208.71859,208.22194,208.85001,208.86000,208.72360,208.78000,21056
2023-04-25 14:44:00,209.20925,208.70458,208.19992,208.97000,208.98500,208.86000,208.87280,32418
2023-04-25 14:43:00,209.25618,208.65780,208.05943,208.89000,208.99001,208.78999,208.97000,25588
2023-04-25 14:42:00,209.27074,208.60380,207.93687,208.92999,208.95990,208.81500,208.87000,24977
2023-04-25 14:41:00,209.29161,208.55005,207.80850,209.00999,209.00999,208.83000,208.92999,22863
2023-04-25 14:40:00,209.28074,208.49384,207.70694,209.13000,209.13000,208.95000,209.01140,30094
2023-04-25 14:39:00,209.21531,208.44827,207.68123,209.12010,209.17590,209.05000,209.13000,26978
2023-04-25 14:38:00,209.11136,208.39527,207.67918,208.96001,209.25999,208.91000,209.10001,73509
2023-04-25 14:37:00,208.99911,208.33927,207.67943,208.81000,208.97501,208.77000,208.95399,31522
2023-04-25 14:36:00,208.90101,208.29407,207.68713,208.60001,208.82001,208.60001,208.81911,30970
2023-04-25 14:35:00,208.83231,208.27262,207.71293,208.53940,208.66000,208.53000,208.59010,22927
2023-04-25 14:34:00,208.80439,208.26166,207.71894,208.46001,208.62000,208.42720,208.53000,32454
2023-04-25 14:33:00,208.77958,208.25041,207.72125,208.44000,208.50999,208.44000,208.46001,21620
2023-04-25 14:32:00,208.76114,208.24066,207.72019,208.41991,208.47000,208.30000,208.43500,33096
2023-04-25 14:31:00,208.74087,208.22741,207.71396,208.53000,208.58000,208.35001,208.42000,55092
2023-04-25 14:30:00,208.72695,208.22041,207.71388,208.64999,208.71001,208.50999,208.51579,42242
2023-04-25 14:29:00,208.69945,208.20962,207.71980,208.63000,208.73500,208.61000,208.64999,65328
2023-04-25 14:28:00,208.63919,208.19112,207.74306,208.49500,208.69971,208.41949,208.60370,64607
2023-04-25 14:27:00,208.58715,208.17644,207.76573,208.28999,208.47000,208.20000,208.44000,39887
2023-04-25 14:26:00,208.57286,208.17194,207.77102,208.52000,208.53000,208.14000,208.28990,74874
2023-04-25 14:25:00,208.61388,208.18444,207.75500,207.92999,208.91000,207.92999,208.49989,172833
2023-04-25 14:24:00,208.61292,208.18420,207.75547,207.89500,207.98000,207.87000,207.93719,42131
2023-04-25 14:23:00,208.62486,208.20534,207.78582,207.80000,207.91479,207.77000,207.89000,33038
2023-04-25 14:22:00,208.65929,208.23884,207.81839,207.80000,207.87000,207.78000,207.79500,32942
2023-04-25 14:21:00,208.65796,208.27459,207.89122,208.11000,208.11000,207.80099,207.80569,37567
2023-04-25 14:20:00,208.68414,208.31981,207.95547,208.00999,208.13000,207.95000,208.10001,29515
